enrollment_id,employee_id,expected_exception_type,expected_severity,expected_business_impact
ENR000000004,EE0000003,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000055,EE0000018,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000076,EE0000025,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000077,EE0000025,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000093,EE0000030,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000000162,EE0000049,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000000164,EE0000049,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000165,EE0000049,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000168,EE0000050,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000202,EE0000059,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000206,EE0000060,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000219,EE0000063,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000220,EE0000063,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000229,EE0000065,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000245,EE0000071,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000262,EE0000075,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000000263,EE0000075,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000264,EE0000075,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000268,EE0000077,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000276,EE0000079,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000370,EE0000101,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000000385,EE0000106,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000463,EE0000132,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000465,EE0000133,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000512,EE0000143,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000521,EE0000145,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000000533,EE0000151,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000603,EE0000171,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000607,EE0000172,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000639,EE0000181,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000664,EE0000190,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000675,EE0000194,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000678,EE0000196,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000680,EE0000198,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000688,EE0000199,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000729,EE0000210,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000000739,EE0000212,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000763,EE0000221,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000000811,EE0000232,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000832,EE0000237,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000834,EE0000237,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000000868,EE0000246,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000881,EE0000249,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000000896,EE0000253,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000913,EE0000257,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000000915,EE0000258,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000917,EE0000258,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000000959,EE0000269,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001036,EE0000291,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001037,EE0000291,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001059,EE0000298,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001096,EE0000309,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001106,EE0000312,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001128,EE0000318,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001157,EE0000325,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001162,EE0000328,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001205,EE0000339,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001206,EE0000339,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001240,EE0000346,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001286,EE0000360,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001287,EE0000360,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001299,EE0000364,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001311,EE0000366,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001336,EE0000373,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001401,EE0000389,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001456,EE0000402,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001498,EE0000413,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001507,EE0000416,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000001519,EE0000419,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000001543,EE0000424,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001545,EE0000425,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000001618,EE0000443,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001648,EE0000450,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001649,EE0000450,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001654,EE0000451,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001663,EE0000454,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000001707,EE0000465,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001725,EE0000471,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001732,EE0000473,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001760,EE0000480,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001818,EE0000496,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001822,EE0000497,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001825,EE0000497,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001833,EE0000499,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001846,EE0000503,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000001863,EE0000508,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001870,EE0000511,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000001887,EE0000514,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000001937,EE0000527,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000001976,EE0000537,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000001998,EE0000543,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002003,EE0000546,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002037,EE0000556,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002040,EE0000556,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002054,EE0000560,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002062,EE0000562,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000002071,EE0000564,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000002091,EE0000568,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002108,EE0000573,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002108,EE0000573,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002114,EE0000574,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002124,EE0000576,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002126,EE0000577,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002204,EE0000600,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002207,EE0000600,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002224,EE0000604,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002255,EE0000613,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002262,EE0000615,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000002287,EE0000620,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002308,EE0000626,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002345,EE0000636,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002381,EE0000647,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002386,EE0000649,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002419,EE0000659,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002426,EE0000661,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002429,EE0000661,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002446,EE0000667,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002460,EE0000670,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002469,EE0000673,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002473,EE0000673,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002494,EE0000683,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002495,EE0000683,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002503,EE0000685,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002531,EE0000693,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002539,EE0000696,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002547,EE0000698,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002560,EE0000701,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000002568,EE0000702,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002576,EE0000704,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002596,EE0000711,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002598,EE0000711,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002633,EE0000720,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002637,EE0000721,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002658,EE0000726,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002669,EE0000728,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002671,EE0000728,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002674,EE0000729,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002678,EE0000730,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002714,EE0000739,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002716,EE0000741,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002728,EE0000744,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000002731,EE0000744,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002750,EE0000748,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002759,EE0000751,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002798,EE0000760,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002847,EE0000771,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002851,EE0000773,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002857,EE0000774,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002870,EE0000779,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002872,EE0000780,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002878,EE0000781,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002888,EE0000785,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002890,EE0000785,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002895,EE0000786,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000002960,EE0000802,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000002969,EE0000804,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002980,EE0000807,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000002985,EE0000809,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000002991,EE0000811,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003033,EE0000820,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003045,EE0000824,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003067,EE0000832,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003110,EE0000844,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003115,EE0000846,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003130,EE0000850,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003184,EE0000869,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003208,EE0000876,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000003211,EE0000876,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003220,EE0000879,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000003268,EE0000891,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000003270,EE0000892,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003275,EE0000893,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003281,EE0000895,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000003310,EE0000902,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
