eligibility_id,employee_id,dependent_id,plan_id,eligibility_start_date,eligibility_end_date,eligibility_status,approval_timestamp,source_system
ELG000000001,EE0000003,,PLN-MED-004,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000002,EE0000003,,PLN-DEN-004,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000003,EE0000003,,PLN-VIS-004,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000004,EE0000004,,PLN-MED-005,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000005,EE0000004,,PLN-DEN-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000006,EE0000004,,PLN-VIS-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000007,EE0000004,,PLN-LIF-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000008,EE0000004,,PLN-DIS-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000009,EE0000006,,PLN-MED-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000010,EE0000006,,PLN-DEN-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000011,EE0000006,,PLN-VIS-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000012,EE0000006,,PLN-LIF-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000013,EE0000008,,PLN-MED-007,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000014,EE0000008,,PLN-DEN-003,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000015,EE0000008,,PLN-VIS-003,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000016,EE0000008,,PLN-LIF-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000017,EE0000008,,PLN-DIS-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000018,EE0000009,,PLN-MED-005,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000019,EE0000009,,PLN-DEN-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000020,EE0000009,,PLN-VIS-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000021,EE0000009,,PLN-LIF-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000022,EE0000010,,PLN-MED-005,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000023,EE0000010,,PLN-DEN-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
ELG000000024,EE0000010,,PLN-VIS-001,2026-01-01,,Active,2026-07-02T02:15:00Z,Northstar Benefits Administration
